balance_month,balance_year,product_barcode,total_consumption
10.0,2025.0,UHAIRSILVS07,0.0
10.0,2025.0,UHAIRSILVS08,24.0
10.0,2025.0,UHAIRSILVS09,12.0
10.0,2025.0,UHAIRSILVS10,48.0
10.0,2025.0,UHAIRSILVS11,0.0
10.0,2025.0,UHAIRSILVS12,48.0
10.0,2025.0,UHAIRSILVS14,60.0
10.0,2025.0,UHALENGSHELLS07,0.0
10.0,2025.0,UHALENGSHELLS13,0.0
10.0,2025.0,UHALENGSHELLS14,0.0
10.0,2025.0,UHARPR161PB,0.0
10.0,2025.0,UHARSIT32KC,23321.0
10.0,2025.0,UHARTITMPSN,23259.0
10.0,2025.0,UHARTSGDBR7,0.0
10.0,2025.0,UHARTSGDBR8,0.0
10.0,2025.0,UHARTSGDBR9,0.0
10.0,2025.0,UHBANIANGLOVE,0.0
10.0,2025.0,UHBLTP204M7M,0.0
10.0,2025.0,UHBOTTOMPADS,17709.0
10.0,2025.0,UHBOXTBTTRAY,0.0
10.0,2025.0,UHBOXTOPTRAY,0.0
10.0,2025.0,UHBRUSBCABLE,0.0
10.0,2025.0,UHBRUSHARG05,240.0
10.0,2025.0,UHBRUSHARG06,480.0
10.0,2025.0,UHBRUSHARG07,1140.0
10.0,2025.0,UHBRUSHARG08,600.0
10.0,2025.0,UHBRUSHARG09,840.0
10.0,2025.0,UHBRUSHARG12,60.0
10.0,2025.0,UHBRUSHARG13,0.0
10.0,2025.0,UHBRUSHMACHS10,0.0
10.0,2025.0,UHBRUSHMACHS14,0.0
10.0,2025.0,UHC2068NF50V,53280.0
10.0,2025.0,UHC2100NF50V,53280.0
10.0,2025.0,UHC2C10UF50V,53404.0
10.0,2025.0,UHC2C1KPF50V,53280.0
10.0,2025.0,UHC2C47PF25V,53280.0
10.0,2025.0,UHC2CUMO10MA,26640.0
10.0,2025.0,UHC2FB30OM1L,26640.0
10.0,2025.0,UHC2FFCCN4P,26640.0
10.0,2025.0,UHC2INDU6.8UH,26640.0
10.0,2025.0,UHC2PCBAREV21,21949.0
10.0,2025.0,UHC2PCBREV21,26640.0
10.0,2025.0,UHC2RES0OM42,79920.0
10.0,2025.0,UHC2RES0OM85,26888.0
10.0,2025.0,UHC2RES27OHM,53280.0
10.0,2025.0,UHC2TRCL72UH,10509.0
10.0,2025.0,UHC3BASEPAINT,3892.0
10.0,2025.0,UHC3BBBASE,0.0
10.0,2025.0,UHC3BOTTPAD,4240.0
10.0,2025.0,UHC3FINFGS05,0.0
10.0,2025.0,UHC3FINFGS06,0.0
10.0,2025.0,UHC3FINFGS07,0.0
10.0,2025.0,UHC3FINFGS08,0.0
10.0,2025.0,UHC3FINFGS09,0.0
10.0,2025.0,UHC3FINFGS10,0.0
10.0,2025.0,UHC3FINFGS11,0.0
10.0,2025.0,UHC3FINFGS12,0.0
10.0,2025.0,UHC3LASERTOPS05,0.0
10.0,2025.0,UHC3LASERTOPS06,0.0
10.0,2025.0,UHC3LASERTOPS07,1800.0
10.0,2025.0,UHC3LASERTOPS08,2000.0
10.0,2025.0,UHC3LASERTOPS09,0.0
10.0,2025.0,UHC3LASERTOPS10,0.0
10.0,2025.0,UHC3LASERTOPS11,400.0
10.0,2025.0,UHC3LASERTOPS12,0.0
10.0,2025.0,UHC3LASERTOPS13,0.0
10.0,2025.0,UHC3LASERTOPS14,0.0
10.0,2025.0,UHC3LGFGS06,2.0
10.0,2025.0,UHC3LGFGS07,2.0
10.0,2025.0,UHC3LGFGS08,2.0
10.0,2025.0,UHC3LGFGS09,2.0
10.0,2025.0,UHC3LGFGS10,2.0
10.0,2025.0,UHC3LGFGS11,1.0
10.0,2025.0,UHC3LGFGS12,1.0
10.0,2025.0,UHC3LGFGS13,1.0
10.0,2025.0,UHC3LPFGS05,1.0
10.0,2025.0,UHC3LPFGS06,2.0
10.0,2025.0,UHC3LPFGS10,2.0
10.0,2025.0,UHC3LPFGS11,1.0
10.0,2025.0,UHC3LPFGS12,1.0
10.0,2025.0,UHC3LRFGS05,1.0
10.0,2025.0,UHC3LRFGS06,2.0
10.0,2025.0,UHC3LRFGS07,2.0
10.0,2025.0,UHC3LRFGS08,1.0
10.0,2025.0,UHC3LRFGS09,2.0
10.0,2025.0,UHC3LRFGS10,1.0
10.0,2025.0,UHC3LRFGS12,1.0
10.0,2025.0,UHC3PAINBASES05,0.0
10.0,2025.0,UHC3PAINBASES06,0.0
10.0,2025.0,UHC3PAINBASES07,1800.0
10.0,2025.0,UHC3PAINBASES08,2000.0
10.0,2025.0,UHC3PAINBASES09,0.0
10.0,2025.0,UHC3PAINBASES10,0.0
10.0,2025.0,UHC3PAINBASES11,400.0
10.0,2025.0,UHC3PAINBASES12,0.0
10.0,2025.0,UHC3TRANTOPS09,1800.0
10.0,2025.0,UHC3TRANTOPS12,1500.0
10.0,2025.0,UHC3TXCOIL,11440.0
10.0,2025.0,UHCAPMUR01UF,0.0
10.0,2025.0,UHCAPMUR047F,23079.0
10.0,2025.0,UHCAPMUR10UF,266772.0
10.0,2025.0,UHCAPMUR12PF,46158.0
10.0,2025.0,UHCAPMUR220F,26640.0
10.0,2025.0,UHCAPMUR22UF,0.0
10.0,2025.0,UHCAPMUR820F,23079.0
10.0,2025.0,UHCAPMURE14D,294528.0
10.0,2025.0,UHCAPMURE1UF,0.0
10.0,2025.0,UHCAPSAM22UF,0.0
10.0,2025.0,UHCAPSAM43UF,23079.0
10.0,2025.0,UHCAPTAY27PF,23079.0
10.0,2025.0,UHCAPYAG10PF,0.0
10.0,2025.0,UHCH2.5FINISHS07,384.0
10.0,2025.0,UHCH2.5FINISHS09,0.0
10.0,2025.0,UHCH2COHOS05,1000.0
10.0,2025.0,UHCH2COHOS06,2450.0
10.0,2025.0,UHCH2COHOS07,200.0
10.0,2025.0,UHCH2COHOS08,4900.0
10.0,2025.0,UHCH2COHOS09,1200.0
10.0,2025.0,UHCH2COHOS10,0.0
10.0,2025.0,UHCH2COHOS11,59.0
10.0,2025.0,UHCH2COHOS12,500.0
10.0,2025.0,UHCH2COHOS13,200.0
10.0,2025.0,UHCH2COHOS14,0.0
10.0,2025.0,UHCH2FINISHS05,729.0
10.0,2025.0,UHCH2FINISHS06,2117.0
10.0,2025.0,UHCH2FINISHS07,1913.0
10.0,2025.0,UHCH2FINISHS08,4621.0
10.0,2025.0,UHCH2FINISHS09,4886.0
10.0,2025.0,UHCH2FINISHS10,1031.0
10.0,2025.0,UHCH2FINISHS11,606.0
10.0,2025.0,UHCH2FINISHS12,442.0
10.0,2025.0,UHCH2FINISHS13,127.0
10.0,2025.0,UHCH2FINISHS14,159.0
10.0,2025.0,UHCHA2BASS05,1000.0
10.0,2025.0,UHCHA2BASS06,2450.0
10.0,2025.0,UHCHA2BASS07,6200.0
10.0,2025.0,UHCHA2BASS08,4900.0
10.0,2025.0,UHCHA2BASS09,2400.0
10.0,2025.0,UHCHA2BASS10,0.0
10.0,2025.0,UHCHA2BASS11,59.0
10.0,2025.0,UHCHA2BASS12,500.0
10.0,2025.0,UHCHA2BASS13,200.0
10.0,2025.0,UHCHA2BASS14,0.0
10.0,2025.0,UHCHARTOPS05,1000.0
10.0,2025.0,UHCHARTOPS06,2450.0
10.0,2025.0,UHCHARTOPS07,200.0
10.0,2025.0,UHCHARTOPS08,4900.0
10.0,2025.0,UHCHARTOPS09,1200.0
10.0,2025.0,UHCHARTOPS10,0.0
10.0,2025.0,UHCHARTOPS11,59.0
10.0,2025.0,UHCHARTOPS12,500.0
10.0,2025.0,UHCHARTOPS13,200.0
10.0,2025.0,UHCHARTOPS14,0.0
10.0,2025.0,UHCHCOMPERJ,26640.0
10.0,2025.0,UHCHPCBAREV30,0.0
10.0,2025.0,UHCHTOP2.5S07,6000.0
10.0,2025.0,UHCHTOP2.5S08,0.0
10.0,2025.0,UHCHTOP2.5S09,1200.0
10.0,2025.0,UHCHTOP2.5S11,0.0
10.0,2025.0,UHCHTOP2.5S12,0.0
10.0,2025.0,UHCONSACETON,0.0
10.0,2025.0,UHCONSCLOTH,0.0
10.0,2025.0,UHCONSCLSWAB,0.0
10.0,2025.0,UHCONSCOTWASTE,0.0
10.0,2025.0,UHCONSDBRBLD,0.0
10.0,2025.0,UHCONSEARBUD,0.0
10.0,2025.0,UHCONSEMR1000,0.0
10.0,2025.0,UHCONSEMR1500,0.0
10.0,2025.0,UHCONSEMR2000,0.0
10.0,2025.0,UHCONSEMR2500,0.0
10.0,2025.0,UHCONSFINGCOT,0.0
10.0,2025.0,UHCONSIPA,0.0
10.0,2025.0,UHCONSJSSPR,0.0
10.0,2025.0,UHCONSLAQUERPAI,0.0
10.0,2025.0,UHCONSLOC406,0.0
10.0,2025.0,UHCONSLOC495,0.0
10.0,2025.0,UHCONSNTRLGLOV,0.0
10.0,2025.0,UHCONSPAINTBRSH,0.0
10.0,2025.0,UHCONSPOL3M,0.0
10.0,2025.0,UHCONSPOLPAD,0.0
10.0,2025.0,UHCONSPRSPRAY,0.0
10.0,2025.0,UHCONSSICOMET,0.0
10.0,2025.0,UHCONSSIHARD,0.0
10.0,2025.0,UHCONSSIRES,0.0
10.0,2025.0,UHCONSSTPPINLRG,0.0
10.0,2025.0,UHCONSSURBLDE,0.0
10.0,2025.0,UHCONSTAPE2BRWN,0.0
10.0,2025.0,UHCONSTAPE2DOUB,0.0
10.0,2025.0,UHCONSTAPE2TRNS,0.0
10.0,2025.0,UHCONSTOOTPICK,0.0
10.0,2025.0,UHCOTNGLOVE,0.0
10.0,2025.0,UHCRYDIO32MH,62.0
10.0,2025.0,UHDEBONDGLUE,0.0
10.0,2025.0,UHDIOCOMT33V,26640.0
10.0,2025.0,UHDIODIO100V,26640.0
10.0,2025.0,UHDIODIOI40V,26640.0
10.0,2025.0,UHDIODIOI75V,26640.0
10.0,2025.0,UHDIOSMCAV99,26640.0
10.0,2025.0,UHDIOTEXI14V,26702.0
10.0,2025.0,UHDUMRING,0.0
10.0,2025.0,UHDUMRING-AAR,0.0
10.0,2025.0,UHDUMRING-Mirror,800.0
10.0,2025.0,UHDUMRING-RT (copy),0.0
10.0,2025.0,UHDUMSHELL-AA,0.0
10.0,2025.0,UHDUMSHELL-AG,300.0
10.0,2025.0,UHDUMSHELL-RT,500.0
10.0,2025.0,UHFERRTSHTUNCUT,0.0
10.0,2025.0,UHFSJW10M8M,43898.0
10.0,2025.0,UHFSJW5.6M7M,0.0
10.0,2025.0,UHHRDOODLVR,0.0
10.0,2025.0,UHHROODAHVR,0.0
10.0,2025.0,UHHWSS1.8X6-H,87796.0
10.0,2025.0,UHICHANA4124,23079.0
10.0,2025.0,UHICHNRF5284,23079.0
10.0,2025.0,UHICHSTM3117,23079.0
10.0,2025.0,UHICHSTM32G0,26640.0
10.0,2025.0,UHICHTEXLMR6,26640.0
10.0,2025.0,UHICHTEXTLV7,26640.0
10.0,2025.0,UHICHTEXTMP1,26640.0
10.0,2025.0,UHICHTEXTPS2,26702.0
10.0,2025.0,UHICHTEXUCC2,26640.0
10.0,2025.0,UHIGPACRMASS07,0.0
10.0,2025.0,UHIGPACRMASS13,0.0
10.0,2025.0,UHIND2213A156,53280.0
10.0,2025.0,UHINDKYO15NH,23079.0
10.0,2025.0,UHINDMUR1OUH,23439.0
10.0,2025.0,UHLEDWOR812B,26640.0
10.0,2025.0,UHLUXAGBASE,0.0
10.0,2025.0,UHLUXAGBASES06,5.0
10.0,2025.0,UHLUXAGBASES07,3.0
10.0,2025.0,UHLUXAGBASES08,2.0
10.0,2025.0,UHLUXAGBASES09,2.0
10.0,2025.0,UHLUXAGBASES10,2.0
10.0,2025.0,UHLUXAGBASES11,1.0
10.0,2025.0,UHLUXAGBASES12,1.0
10.0,2025.0,UHLUXAGBASES13,1.0
10.0,2025.0,UHLUXAGS05-S11,15.0
10.0,2025.0,UHLUXAGS12-S14,2.0
10.0,2025.0,UHLUXASBASE,0.0
10.0,2025.0,UHLUXASBASES05,1.0
10.0,2025.0,UHLUXASBASES06,5.0
10.0,2025.0,UHLUXASBASES09,0.0
10.0,2025.0,UHLUXASBASES10,2.0
10.0,2025.0,UHLUXASBASES11,1.0
10.0,2025.0,UHLUXASBASES12,1.0
10.0,2025.0,UHLUXASS05-S11,9.0
10.0,2025.0,UHLUXASS12-S14,1.0
10.0,2025.0,UHLUXCHTOPS05,2.0
10.0,2025.0,UHLUXCHTOPS06,12.0
10.0,2025.0,UHLUXCHTOPS07,5.0
10.0,2025.0,UHLUXCHTOPS08,3.0
10.0,2025.0,UHLUXCHTOPS09,7.0
10.0,2025.0,UHLUXCHTOPS10,5.0
10.0,2025.0,UHLUXCHTOPS11,2.0
10.0,2025.0,UHLUXCHTOPS12,3.0
10.0,2025.0,UHLUXCHTOPS13,1.0
10.0,2025.0,UHLUXDIECUT,40.0
10.0,2025.0,UHLUXRGBASE,0.0
10.0,2025.0,UHLUXRGBASES05,1.0
10.0,2025.0,UHLUXRGBASES06,2.0
10.0,2025.0,UHLUXRGBASES07,2.0
10.0,2025.0,UHLUXRGBASES08,1.0
10.0,2025.0,UHLUXRGBASES09,5.0
10.0,2025.0,UHLUXRGBASES10,1.0
10.0,2025.0,UHLUXRGBASES12,1.0
10.0,2025.0,UHLUXRGS05-S11,12.0
10.0,2025.0,UHLUXRGS12-S14,1.0
10.0,2025.0,UHMAGCABLE,0.0
10.0,2025.0,UHOODARESINBLK,0.0
10.0,2025.0,UHOPSANA61EF,23259.0
10.0,2025.0,UHOSCECS27MH,26640.0
10.0,2025.0,UHPCBREV15S6,0.0
10.0,2025.0,UHPCBRXCOS05,516.0
10.0,2025.0,UHPCBRXCOS06,1224.0
10.0,2025.0,UHPCBRXCOS07,3612.0
10.0,2025.0,UHPCBRXCOS08,6939.0
10.0,2025.0,UHPCBRXCOS09,7368.0
10.0,2025.0,UHPCBRXCOS10,1050.0
10.0,2025.0,UHPCBRXCOS11,1082.0
10.0,2025.0,UHPCBRXCOS12,481.0
10.0,2025.0,UHPCBRXCOS13,133.0
10.0,2025.0,UHPCBRXCOS14,84.0
10.0,2025.0,UHPDBENECRT,0.0
10.0,2025.0,UHPLASIZRS05,0.0
10.0,2025.0,UHPLASIZRS06,0.0
10.0,2025.0,UHPLASIZRS07,0.0
10.0,2025.0,UHPLASIZRS08,0.0
10.0,2025.0,UHPLASIZRS09,0.0
10.0,2025.0,UHPLASIZRS10,0.0
10.0,2025.0,UHPLASIZRS11,0.0
10.0,2025.0,UHPLASIZRS12,0.0
10.0,2025.0,UHPLASIZRS13,0.0
10.0,2025.0,UHPLASIZRS14,0.0
10.0,2025.0,UHPOSMPT208,0.0
10.0,2025.0,UHPRINTBATPCB,0.0
10.0,2025.0,UHR1AIRCVS05,0.0
10.0,2025.0,UHR1AIRCVS06,0.0
10.0,2025.0,UHR1AIRCVS07,0.0
10.0,2025.0,UHR1AIRCVS08,0.0
10.0,2025.0,UHR1AIRCVS09,0.0
10.0,2025.0,UHR1AIRCVS10,0.0
10.0,2025.0,UHR1AIRCVS11,0.0
10.0,2025.0,UHR1AIRCVS12,0.0
10.0,2025.0,UHR1AIRCVS13,0.0
10.0,2025.0,UHR1AIRCVS14,0.0
10.0,2025.0,UHRD01UFX7R,186432.0
10.0,2025.0,UHRD01X7S26,372.0
10.0,2025.0,UHRD0201X6S,372.0
10.0,2025.0,UHRD0225C1E,180.0
10.0,2025.0,UHRD022UF10,124.0
10.0,2025.0,UHRD071K5L4,0.0
10.0,2025.0,UHRD071KLRC,0.0
10.0,2025.0,UHRD100IBS1,0.0
10.0,2025.0,UHRD104KE14,0.0
10.0,2025.0,UHRD105KA12,0.0
10.0,2025.0,UHRD13330KL,62.0
10.0,2025.0,UHRD196AEC2,62.0
10.0,2025.0,UHRD1CIL270,62.0
10.0,2025.0,UHRD1MFD0603,0.0
10.0,2025.0,UHRD2040175,0.0
10.0,2025.0,UHRD20ATCSF,62.0
10.0,2025.0,UHRD2200PF5,242.0
10.0,2025.0,UHRD22KAA37D,0.0
10.0,2025.0,UHRD22UFX51,23259.0
10.0,2025.0,UHRD2450AT1,62.0
10.0,2025.0,UHRD25COGPF,62.0
10.0,2025.0,UHRD25VDCX8,124.0
10.0,2025.0,UHRD2N2W04T,360.0
10.0,2025.0,UHRD2N7BTAI,180.0
10.0,2025.0,UHRD320CDX2,975.0
10.0,2025.0,UHRD330AEC2,0.0
10.0,2025.0,UHRD3DPRINT,0.0
10.0,2025.0,UHRD3N3BT20,62.0
10.0,2025.0,UHRD3PLTRNR,0.0
10.0,2025.0,UHRD40PSTCT,0.0
10.0,2025.0,UHRD472608M,62.0
10.0,2025.0,UHRD499RSTR,310.0
10.0,2025.0,UHRD5054731,0.0
10.0,2025.0,UHRD65ABTSL,0.0
10.0,2025.0,UHRD65AFLXB,0.0
10.0,2025.0,UHRD65ARUBR,0.0
10.0,2025.0,UHRD66AUTVE,62.0
10.0,2025.0,UHRD70WB01D,0.0
10.0,2025.0,UHRD7817203,0.0
10.0,2025.0,UHRD8751001,0.0
10.0,2025.0,UHRD903004B,0.0
10.0,2025.0,UHRDAASONS2,0.0
10.0,2025.0,UHRDABS3DSL,0.0
10.0,2025.0,UHRDAC0201F,0.0
10.0,2025.0,UHRDADG849Y,0.0
10.0,2025.0,UHRDADM8613,0.0
10.0,2025.0,UHRDADWITS9,0.0
10.0,2025.0,UHRDAECQ200,124.0
10.0,2025.0,UHRDAF0201F,0.0
10.0,2025.0,UHRDALIGNER,0.0
10.0,2025.0,UHRDALMTRAY,0.0
10.0,2025.0,UHRDALPHAFX,0.0
10.0,2025.0,UHRDAMIC201,0.0
10.0,2025.0,UHRDAMMRING,0.0
10.0,2025.0,UHRDANTENA1,0.0
10.0,2025.0,UHRDAP211G1,0.0
10.0,2025.0,UHRDAP2TRG1,0.0
10.0,2025.0,UHRDARLPOSC,0.0
10.0,2025.0,UHRDASANRF5,0.0
10.0,2025.0,UHRDB3U00PM,0.0
10.0,2025.0,UHRDB3U10PM,0.0
10.0,2025.0,UHRDBASESLA,0.0
10.0,2025.0,UHRDBATRIES,0.0
10.0,2025.0,UHRDBATRY24,0.0
10.0,2025.0,UHRDBATRY26,0.0
10.0,2025.0,UHRDBATRY32,0.0
10.0,2025.0,UHRDBATRY34,0.0
10.0,2025.0,UHRDBATTYTP,0.0
10.0,2025.0,UHRDBLM18PG,0.0
10.0,2025.0,UHRDBLMTN1D,124.0
10.0,2025.0,UHRDBLUETUB,0.0
10.0,2025.0,UHRDBM29B06333,0.0
10.0,2025.0,UHRDBM29B2D,0.0
10.0,2025.0,UHRDBOSCHGS,0.0
10.0,2025.0,UHRDBOTPADA,0.0
10.0,2025.0,UHRDBTBJ140,0.0
10.0,2025.0,UHRDBTONBOX,0.0
10.0,2025.0,UHRDBTRYAO4,62.0
10.0,2025.0,UHRDBUTBAC6,0.0
10.0,2025.0,UHRDC0402TU,0.0
10.0,2025.0,UHRDC1680AA,0.0
10.0,2025.0,UHRDC1H1R2W,124.0
10.0,2025.0,UHRDCBSS138,0.0
10.0,2025.0,UHRDCCMC102,0.0
10.0,2025.0,UHRDCGA50BE,124.0
10.0,2025.0,UHRDCHANG1,0.0
10.0,2025.0,UHRDCHANGH,0.0
10.0,2025.0,UHRDCHARG31,0.0
10.0,2025.0,UHRDCHGERPR,0.0
10.0,2025.0,UHRDCHRGBOX,0.0
10.0,2025.0,UHRDCHRGR30,62.0
10.0,2025.0,UHRDCL03A22,0.0
10.0,2025.0,UHRDCL05B1K,0.0
10.0,2025.0,UHRDCNL320X,62.0
10.0,2025.0,UHRDCOGNPO1,62.0
10.0,2025.0,UHRDCOILTAP,0.0
10.0,2025.0,UHRDCONFLY1,0.0
10.0,2025.0,UHRDCONFMAL,0.0
10.0,2025.0,UHRDCONNT39,62.0
10.0,2025.0,UHRDCONTPAD,0.0
10.0,2025.0,UHRDCR0402P,186.0
10.0,2025.0,UHRDCRIMPTL,0.0
10.0,2025.0,UHRDCUSO500,0.0
10.0,2025.0,UHRDCUTTER1,0.0
10.0,2025.0,UHRDDEF2MP2,0.0
10.0,2025.0,UHRDDESN1V1,0.0
10.0,2025.0,UHRDDIYCRET,0.0
10.0,2025.0,UHRDDMP25U7,0.0
10.0,2025.0,UHRDDRV2605,62.0
10.0,2025.0,UHRDDRV5032,62.0
10.0,2025.0,UHRDDS1921H,0.0
10.0,2025.0,UHRDDWM3001,0.0
10.0,2025.0,UHRDDZLMAST,0.0
10.0,2025.0,UHRDEC34BTR,0.0
10.0,2025.0,UHRDELECT20,0.0
10.0,2025.0,UHRDELGSAT4,0.0
10.0,2025.0,UHRDELLER15,0.0
10.0,2025.0,UHRDERA303X,0.0
10.0,2025.0,UHRDERJ010X,0.0
10.0,2025.0,UHRDERJ200X,62.0
10.0,2025.0,UHRDERJ343X,62.0
10.0,2025.0,UHRDERJXGNY,180.0
10.0,2025.0,UHRDESD5451,0.0
10.0,2025.0,UHRDETITAPE,0.0
10.0,2025.0,UHRDEXP28SO,0.0
10.0,2025.0,UHRDEXS00A6,0.0
10.0,2025.0,UHRDF30NICU,0.0
10.0,2025.0,UHRDFDMBASE,0.0
10.0,2025.0,UHRDFDMPSO6,0.0
10.0,2025.0,UHRDFDMSO5H,0.0
10.0,2025.0,UHRDFDMTOP1,0.0
10.0,2025.0,UHRDFLEBATY,0.0
10.0,2025.0,UHRDFLHNOR7,180.0
10.0,2025.0,UHRDFMM19TA,0.0
10.0,2025.0,UHRDGB5ATOL,0.0
10.0,2025.0,UHRDGCQH4R2,0.0
10.0,2025.0,UHRDGNF103C,186.0
10.0,2025.0,UHRDGNF62RC,62.0
10.0,2025.0,UHRDGNRLTOP,62.0
10.0,2025.0,UHRDGRM0B01,180.0
10.0,2025.0,UHRDGRM188C,248.0
10.0,2025.0,UHRDGRM225D,23079.0
10.0,2025.0,UHRDGRME15J,0.0
10.0,2025.0,UHRDGRME19D,0.0
10.0,2025.0,UHRDGRR611D,0.0
10.0,2025.0,UHRDGRT188R ,0.0
10.0,2025.0,UHRDHAOSIEP,0.0
10.0,2025.0,UHRDHINGZB1,0.0
10.0,2025.0,UHRDHSSTAP4,0.0
10.0,2025.0,UHRDIFIXTOL,0.0
10.0,2025.0,UHRDINDRF15,124.0
10.0,2025.0,UHRDISP1907,0.0
10.0,2025.0,UHRDJR071ML,62.0
10.0,2025.0,UHRDJUMPER2,0.0
10.0,2025.0,UHRDJYLRA06,62.0
10.0,2025.0,UHRDJYRLYI1,0.0
10.0,2025.0,UHRDKEMET2A,0.0
10.0,2025.0,UHRDKROST17,0.0
10.0,2025.0,UHRDLDLILED,0.0
